668-603562189564219392	RT CoachhCruz Glad to see the Houston fam is still tippin on 4 4s houstonflood 
668-603562583614988289	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcoqEtQWd
668-603562601243541504	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcoIBTycChKMI
668-603562624568070145	RT DFWALERTS Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  t
668-603562638094700544	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcolbbFlmIhXg
668-603562645350932482	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcolbbFlm
668-603562678057963520	RT Readygov Please share Never drive through flooded roads Turn Around Dont Drown HoustonFlood 
668-603562681866452992	RT MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstco0
668-603562685154906112	RT Bipartisanism Texas has halted plans to secede from America to ask for federal disaster relief HoustonFlood TexasFlood 
668-603562748270678018	RT lillyrblx houstonflood Meanwhile California 
668-603562749260529665	RT Readygov Get flood safety tips weather alerts amp shelter locations on the FEMA app httpstco9VtEJ9XSEp HoustonFlood txwx
668-603562755938000896	We are praying for Houston and all those affected by the storms in Texas HoustonFlood
668-603562758190301185	RT lrwunsch jfederations sending 25K emergency funds to HoustonJewish 4 help w food amp housing following houstonflood 
668-603562759976951808	RT YoJustinKing We now go live to a family stuck in the Bellaire HoustonFlood houfloods 
668-603562768390750208	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcocZElq4x22P
668-603562772572569601	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcocZElq4
668-603562798694563840	RT Cal1M1ke On our way to get some food In Houston like cx houstonflood 
668-603562813173452800	RT InTouchMin Were praying for all those affected by the flooding in TX and OK Join us now in lifting up the families and response team
668-603562828838998017	Good morning Twitter The houstonflood is on our mind and we hope everyone is safe and sound
668-603562876977065984	RT Cal1M1ke On our way to get some food In Houston like cx houstonflood 
668-603562885768417281	What is this ThickGirlApprecationDay we have bigger fish to fry than this foolishness aka houstonflood
668-603562894207262722	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcoBBCQbbO1vD
668-603562902176583681	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcoBBCQbb
668-603562902491144193	Stay safe out there in Houston Prayers and thoughts go out to the lost and misplaced families houstonflood
668-603562925911969793	RT AWerkenthin Rain rain go away come again to California they need it we dont houstonflood
668-603562959181258752	Im sleepy and tierd  pushed like 4 cars to safety i tried helping everyone  houstonflood
668-603562969922867200	RT PoliticsPR The Troubled Relationship Between Texas and FEMA   TexasFlood HoustonFlood 
668-603563020195766273	RT KHOULily Cypress youre getting slammed BE CAREFUL 290 has high water on frontage at West Road HoustonFlood
668-603563022418747394	The pictures going around from the houstonflood are so shocking Our thoughts are with you
668-603563038692626432	RT SimplyCecilia Houstonians are creative I give yall that  RT thekillahBEE See houstonflood 
668-603563038898298880	ChicoDelainky This is how a liberal responds to devastation TexasFlood houstonflood Cracking jokes while people are missing or dead
668-603563081898143745	RT HTCAshleyS Pray for our city Pray for our state Houston HoustonFlood Flooding Texas TexansCheer 
668-603563089087340544	RT TODAYshow MT weatherchannel How bad is the flooding in Houston This pic via mrsraee sums it up houstonflood TXwx 
668-603563090630836226	RT KHOULily Cypress youre getting slammed BE CAREFUL 290 has high water on frontage at West Road HoustonFlood
668-603563124206231552	RT AARonRodgers This is incredibly accurate  TexasFlood houstonflood perspective 
668-603563195236679681	RT JoelOsteen There will be storms in life but they are only temporary Praying for our friends in Houston and Texas HoustonFlood
668-603563340426715136	RT KathyRGreen So thankful for the sunshine this morning Praying that the rain ceases in the areas where there is flooding DFW weathe
668-603563382583660544	RT Duracell Houston amp San Marcos were coming wFREE batteries amp mobile charging to help those impacted by the houstonflood 
668-603563386383638529	RT CentralArkansas The pictures going around from the houstonflood are so shocking Our thoughts are with you
668-603563391911763969	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood TrafficAuthority HouWX HoustonFlooding CNPalerts httpstco4fP82Fj9E9
668-603563423935242240	People are being real idiots with this flood thinking they can drive through the flooded roads in a Prius dumb houstonflood
668-603563430935547904	RT HoustonChron Allen Parkway at Montrose still closed  photo by CodyJDuty houwx hounews houstonflood 
668-603563450120347648	RT KHOUTiffanyC MUST SEE PIC Bridge clearance is 14ft 3in outside KHOU studio Look at Water level houstonflood HoustonFlooding http
668-603563485461553152	RT niftyfella houstons on its way to becoming the city of atlantis houstonflood
668-603563488099766273	Tired of this rain  tho houstonflood 
668-603563496475766784	RT HoustonChron Latest highwater locations  hounews houwx houstonflood 
668-603563517682196480	RT mattgutmanABC The houstonflood may be over but the rescues continue This car crashed here this AM Driver plucked to safety 
668-603563530814492673	RT SimplyCecilia Houstonians are creative I give yall that  RT thekillahBEE See houstonflood 
668-603563542332116993	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcohkgKKDjqxD
668-603563547365384193	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcohkgKKD
668-603563561617526785	Thunderbolt of lightning very very frightening Starting at 5 AM it does not make for a good sleep HoustonFlood
668-603563584472293376	Was planning to buy a used car but thats not happening anytime soon houstonflood
668-603563606865616899	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcovQrqCcpFMM
668-603563614457491456	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcovQrqCc
668-603563642743689216	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstco0o5xJ8qCot
668-603563648368390145	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstco0o5xJ8
668-603563668073152513	RT HilaryNews Sending love and support to everyone in Houston Texas as they deal with the difficult flooding conditions hilaryfandotco
668-603563677392961536	RT MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcoc
668-603563681608151040	Pretty sound advice houstonflood 
668-603563683625635843	RT SouthOrlandoRPM Good morning Twitter The houstonflood is on our mind and we hope everyone is safe and sound
668-603563703615631361	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcoVSYUUcBudx
668-603563706480402432	RT KHOULily Wow Galleria Mall parking garage flooding HoustonFlood 
668-603563708841893888	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcoVSYUUc
668-603563727439298560	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603563747295133697	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcoB4ZSpAW6vL
668-603563751439265792	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcoB4ZSpA
668-603563790131572737	My dad just texted me glad hes ok  houstonflood
668-603563809190637568	RT lrwunsch jfederations sending 25K emergency funds to HoustonJewish 4 help w food amp housing following houstonflood 
668-603563822129885184	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcoyq2gu0YsmJ
668-603563832900980736	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcoyq2gu0
668-603563838248648704	houstonflood shrek4 
668-603563838986801152	RT MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcor
668-603563849883648000	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcoi7wIr7m50A
668-603563851938803713	RT MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcoG
668-603563857605451776	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcoi7wIr7
668-603563860843311104	McAllenAirport CityofMcAllen houstonflood
668-603563870905475072	Just saw the USAA Mobile Claims center in Houston  Its good to see yall taking great care of your member Houstonflood usaarocks
668-603563893584039936	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcocghvahou50
668-603563901352050688	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcocghvah
668-603563908398350336	RT Bipartisanism Texas has halted plans to secede from America to ask for federal disaster relief HoustonFlood TexasFlood 
668-603563937724911616	RT abc13houston Man finds casket with body inside on SW Houston road   breaking hounews houstonflood 
668-603563941621411840	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcouD7qk87YHg
668-603563945346146305	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcouD7qk8
668-603563972134973442	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcoZd9g9yYqeY
668-603563977105350656	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcoZd9g9y
668-603563999410561024	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603564024798650368	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcorzTULRmhFx
668-603564030532427776	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcorzTULR
668-603564031098560513	RT IndyUSA HoustonFlood Photos of the historic and devastating weather that rocked Texas 
668-603564056167981056	RT maibey The weather lady on NPR sounded like she was going to cry houstonflood
668-603564058156077056	Mother nature will be the judge BlackLivesMatter  houstonflood Meaning what goes around comes around until justice is served
668-603564070231416832	RT ReenLucas Downtown Houston near Allen Pkwy houstonflood pic sent to me by my client 
668-603564070252457986	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcoX7B860kQk2
668-603564075277094912	RT SimplyCecilia Houstonians are creative I give yall that  RT thekillahBEE See houstonflood 
668-603564085142278144	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcoX7B860
668-603564108089196544	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcob1XPtlXQ9r
668-603564112585564164	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcob1XPtl
668-603564128909660162	RT MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcoB
668-603564139861028864	RT HoustonChron Flight delays at IAH and HOU airports hounews houwx HoustonFlood 
668-603564149616939008	The thunder this morning giving me flashbacks like its Nam JustHoustonThings HoustonFlood
668-603564160836861952	RT WhiteboyChris Im at the stage of this storm where buying a boat makes more sense than keeping my car houstonflood 
668-603564180772257792	Rain rain Go Away houstonflood sickofrain gonnaneedaboatsoon 
668-603564187256754179	RT FactsAboutTexas If you live in Houston PLEASE stay home today  This is 145  N Main right now houstonflood 
668-603564196177973249	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcokD1FmdqNpD
668-603564202784063490	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcokD1Fmd
668-603564205598449664	RT HoustonChron Allen Parkway at Montrose still closed  photo by CodyJDuty houwx hounews houstonflood 
668-603564216058970112	RT weatherchannel Houston continues to get pounded by rain after massive flooding TUE Latest  houstonflood htt
668-603564222933438464	It sickens me when politicians start using TexasFlood and houstonflood as a way to mudsling and support their own campaigns Scumbags 
668-603564225219420160	bckybr Hoping you and family are safe prayers for those caught in another one of lifes storms houstonflood
668-603564237248720896	RT mattgutmanABC The houstonflood may be over but the rescues continue This car crashed here this AM Driver plucked to safety 
668-603564256047603712	RT TheBaxterBean REMINDER All US Taxpayers Will Pay for Texas and Oklahomas Lack of Flood Infrastructure HoustonFlood TexasFlood ht
668-603564292042924033	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstco6TiYlVezfE
668-603564296962973696	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstco6TiYlV
668-603564302323228672	RT PoliticsPR The Troubled Relationship Between Texas and FEMA   TexasFlood HoustonFlood 
668-603564375971012608	RT AWerkenthin Rain rain go away come again to California they need it we dont houstonflood
668-603564425816121345	My heart goes out to HoustonFlood victims To file a claim customers can call our office or 1800SFCLAIM or visit 
668-603564426969673730	1 Continan las lluvias en Houston Mantenga la calma y no cruce ninguna corriente houstonflood weatherchannel 
668-603564451510374400	RT DougDelonyKHOU Galleria lower parking level is FULL of water Not cars Incredible pic from Derrick J this morning HoustonFlood ht
668-603564513820979201	Thank you waze for taking me right into 2 blocked roads this morning houstonflood smh
668-603564517394489345	RT Bipartisanism Sometimes you have to wonder if God pays closer attention than we think TexasFlood HoustonFlood 
668-603564524000681984	RT imfabulous13 Texans HoustonFlood is a plot by Obama to enter your flooded homes and take your guns Stay vig 
668-603564534763139072	RT bytemeorg HoustonChron has some amazing pictures of the houstonflood in this article 
668-603564544846266368	RT MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstco6
668-603564584801173506	RT Cal1M1ke On our way to get some food In Houston like cx houstonflood 
668-603564596218048513	This woman in meyerland describes what it was like to watch her couch float houstonflood 
668-603564602182381569	RT SimplyCecilia Houstonians are creative I give yall that  RT thekillahBEE See houstonflood 
668-603564605361823744	RT Duracell Houston amp San Marcos were coming wFREE batteries amp mobile charging to help those impacted by the houstonflood 
668-603564610583597056	RT PHILOCALYLOUIS when you think its a river but its actually a highway houstonflood 
668-603564623216816128	Its raining Again HoustonFlood makeitstop
668-603564625632821248	RT brriiaaa When Htown swag saves you during the HoustonFlood 
668-603564648609095681	RT PHILOCALYLOUIS when you think its a river but its actually a highway houstonflood 
668-603564667982581761	RT FactsAboutTexas If you live in Houston PLEASE stay home today  This is 145  N Main right now houstonflood 
668-603564681244979200	RT FoxNews UPDATE At least 9 dead in Texas Okla floods houstonflood  
668-603564704729018368	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603564766926249985	RT Cal1M1ke On our way to get some food In Houston like cx houstonflood 
668-603564822035304450	RT bytemeorg HoustonChron has some amazing pictures of the houstonflood in this article 
668-603564834139934721	RT TheBaxterBean Republican Texas 201617 Budget Includes 4 Billion In Tax Cuts  TexasFlood HoustonFlood 
668-603564886208024576	RT PoliticsPR The Troubled Relationship Between Texas and FEMA   TexasFlood HoustonFlood 
668-603564887973896192	RT KHOULily Wow Galleria Mall parking garage flooding HoustonFlood 
668-603564898862305281	RT 937thebeat ICYMI this is why Colin Kaepernick is cthagods and Houstons DonkeyOfTheDay HoustonFlood  
668-603564909947813888	RT KPRC2 BeforeAfter photos of Meyerland flooding 10 hrs later houstonflood More Photos  KPRC2 
668-603564942940221441	houstonflood 
668-603564956345327616	Really 5 more days of rain houstonflood buildanarc rain flood readyforsun httpstco02deNbNKmb
668-603564967971917825	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603564989748748288	RT PHILOCALYLOUIS when you think its a river but its actually a highway houstonflood 
668-603564993615831040	April showers bring May flooding HoustonFlood
668-603565030806843392	RT MyFoxHouston This woman in meyerland describes what it was like to watch her couch float houstonflood 
668-603565042974396416	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcouRD5klApCV
668-603565044375257089	RT MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcoc
668-603565050062864384	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcouRD5kl
668-603565068547182592	RT Bipartisanism The HoustonFlood should remind everyone that both Texas senators voted against disaster relief funding TedCruz http
668-603565077082415106	This woman in meyerland describes what it was like to watch her couch float houstonflood MyFoxHouston 
668-603565093809299457	RT BrotherJesse Salute to Nation of Islam MGTGCC Sis Malaika who saved 7 ppl last night in the HoustonFlood MyFoxHouston 
668-603565114118152193	RT PCIAA 4000  homes damaged in houstonflood according to weatherchannel important to contact your insurance company 
668-603565123492454401	So now when people ask me why Houston is a bayou city can I just show them the pictures of yesterday houstonflood
668-603565174180564992	RT PHILOCALYLOUIS when you think its a river but its actually a highway houstonflood 
668-603565181222785024	This woman in meyerland describes what it was like to watch her couch float houstonflood FOX 26 Houston 
668-603565190697877504	RT HCTACOffice All branch offices are back open at regular business hours Visit   houstonflood hounews houflood
668-603565192534831105	RT THR Houston Hit With Deadly Flooding How Cable Networks Are Covering It  HoustonFlood 
668-603565227423059968	Rain rainGo awayCome back another dayHoustonFlood
668-603565230472503296	Questions rise about the emergency response to Texas deadly flood houstonflood  
668-603565232263274497	Stunned at what Im seeing in Houston Prayers going out to them houstonflood
668-603565238114525184	RT camrenbicondova Oh no Literally just left downtown Houston yesterday now seeing the HoustonFlood photos I hope you guys are okay 
668-603565244460494848	Questions rise about the emergency response to Texas deadly flood houstonflood   
668-603565350349864960	RT TorontoStar Questions rise about the emergency response to Texas deadly flood houstonflood   
668-603565355609497600	Was your home flooded Here are tips for cleaning it up  via MagEGordon alysonward HoustonFlood
668-603565363435937792	RT KHOU Homeowners motorists face flooding along Brays Bayou  KHOU HoustonFlood 
668-603565391978233856	RT 937thebeat ICYMI this is why Colin Kaepernick is cthagods and Houstons DonkeyOfTheDay HoustonFlood  
668-603565393597173762	RT CoachhCruz Glad to see the Houston fam is still tippin on 4 4s houstonflood 
668-603565399427317760	RT Bipartisanism Texas has halted plans to secede from America to ask for federal disaster relief HoustonFlood TexasFlood 
668-603565411443953664	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcoQtt2XqMyo6
668-603565417571983361	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcoQtt2Xq
668-603565434772717568	This houstonflood calls into question our value of things Things dorm define your life does
668-603565437067005953	RT FactsAboutTexas If you live in Houston PLEASE stay home today  This is 145  N Main right now houstonflood 
668-603565463730200576	Im afraid to complain about the rain bc come August we may be begging for it houstonflood
668-603565522232352769	RT jbhakta96 If anyone needs to shower or wants go for a swim just step out side houstonflood
668-603565535763173379	RT andrearumbaugh Was your home flooded Here are tips for cleaning it up  via MagEGordon alysonward HoustonFlood
668-603565550384578560	RT TorontoStar Questions rise about the emergency response to Texas deadly flood houstonflood   
668-603565571662290944	RT Bipartisanism Texas has halted plans to secede from America to ask for federal disaster relief HoustonFlood TexasFlood 
668-603565632542519296	I now understand houstonflood  httpstcoUHcc8VvvKT
668-603565662926143489	RT Readygov Please share Never drive through flooded roads Turn Around Dont Drown HoustonFlood 
668-603565668747890688	RT lrwunsch jfederations sending 25K emergency funds to HoustonJewish 4 help w food amp housing following houstonflood 
668-603565715161939969	RT TheLeadCNN Official 12 missing 30 unaccounted for after floods  houstonflood JenniferGrayCNN TheLead http
668-603565748414324736	RT MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcok
668-603565796942577664	khou11 viewer photo of standing water on FM 2920 in Hockley TX  houstonflood   
668-603565807449219072	RT CoachhCruz Glad to see the Houston fam is still tippin on 4 4s houstonflood 
668-603565827485401088	Like Why is this real RT ashpxoxo This aint nothing but the devils work houstonflood 
668-603565849811660801	RT MyFoxHouston This woman in meyerland describes what it was like to watch her couch float houstonflood 
668-603565877204770816	RT BigSplashWeb Rain rainGo awayCome back another dayHoustonFlood
668-603565889112313857	A catastrophic event in Houston Cars still remain underwater with a lot of rain to come in the forecast in houstonflood KHOULily KHOU
668-603565908817149954	Drone video shows massive HoustonFlood via ABC13Houston 
668-603565938797977600	RT cardiaccoogs The thunder this morning giving me flashbacks like its Nam JustHoustonThings HoustonFlood
668-603565939959857152	RT CNNSitRoom Breaking 30 not accounted for another 12 missing after going in the water  houstonflood 
668-603565961505976320	YGCWA houstonflood HOUfloods HoustonFloods TexasFlood txwx TrafficAuthority HouWX HoustonFlooding httpstcohndQPLmsDW
668-603565965960445952	Via MyFoxHouston YGCWA houstonflood HOUfloods HoustonFloods TexasFlood  TrafficAuthority HouWX HoustonFlooding  ttpstcohndQPL
668-603566000127094784	RT WhiteboyChris Im at the stage of this storm where buying a boat makes more sense than keeping my car houstonflood 
668-603566016187092992	RT mangolassi93 Just hold on were going home houstonflood 
668-603566028828712960	RT WestHoustonKaty Wow What a night Pics taken at Barker Cypress and Saums houstonflood 
668-603566036512813056	RT jwharris Updated map of Texas txflood ctxwx houstonflood 
668-603566048940404737	RT HTCAshleyS Pray for our city Pray for our state Houston HoustonFlood Flooding Texas TexansCheer 
668-603566052358815744	RT CoachhCruz Glad to see the Houston fam is still tippin on 4 4s houstonflood 
668-603566059711406080	RT DiamondCutSaida houstonflood 
668-603566074471165953	RT TorontoStar Questions rise about the emergency response to Texas deadly flood houstonflood   
668-603566161440145409	RT UTProbs Prayers for HTown HoustonFlood 
